circuit,algorithm,input_tcount,output_tcount,time_s
barenco_tof_3,todd_exp_packedlocal_diff_1110,28,14,.003
barenco_tof_3,todd_exp_1110,28,14,.005
barenco_tof_3,lx2_dynamic_repair_chi_packed_aa,28,14,.003
barenco_tof_4,todd_exp_packedlocal_diff_1110,56,24,.053
barenco_tof_4,todd_exp_1110,56,24,.075
barenco_tof_4,lx2_dynamic_repair_chi_packed_aa,56,24,.043
barenco_tof_5,todd_exp_packedlocal_diff_1110,84,34,.291
barenco_tof_5,todd_exp_1110,84,34,.375
barenco_tof_5,lx2_dynamic_repair_chi_packed_aa,84,34,.132
barenco_tof_10,todd_exp_packedlocal_diff_1110,224,84,26.247
barenco_tof_10,todd_exp_1110,224,84,27.371
barenco_tof_10,lx2_dynamic_repair_chi_packed_aa,224,84,11.486
gf2^4_mult,todd_exp_packedlocal_diff_1110,112,54,.516
gf2^4_mult,todd_exp_1110,112,54,.633
gf2^4_mult,lx2_dynamic_repair_chi_packed_aa,112,54,.251
gf2^5_mult,todd_exp_packedlocal_diff_1110,175,88,4.062
gf2^5_mult,todd_exp_1110,175,86,5.636
gf2^5_mult,lx2_dynamic_repair_chi_packed_aa,175,88,3.044
ham15-med,todd_exp_packedlocal_diff_1110,574,163,3478.363
ham15-med,todd_exp_1110,574,167,2872.298
ham15-med,lx2_dynamic_repair_chi_packed_aa,574,163,1610.307
hwb6,todd_exp_packedlocal_diff_1110,105,52,2.594
hwb6,todd_exp_1110,105,53,3.468
hwb6,lx2_dynamic_repair_chi_packed_aa,105,52,1.822
mod5_4,todd_exp_packedlocal_diff_1110,28,16,.006
mod5_4,todd_exp_1110,28,16,.007
mod5_4,lx2_dynamic_repair_chi_packed_aa,28,16,.004
mod_mult_55,todd_exp_packedlocal_diff_1110,49,17,.030
mod_mult_55,todd_exp_1110,49,18,.053
mod_mult_55,lx2_dynamic_repair_chi_packed_aa,49,17,.023
mod_red_21,todd_exp_packedlocal_diff_1110,119,52,1.962
mod_red_21,todd_exp_1110,119,54,3.077
mod_red_21,lx2_dynamic_repair_chi_packed_aa,119,52,1.599
qcla_com_7,todd_exp_packedlocal_diff_1110,203,62,9.374
qcla_com_7,todd_exp_1110,203,62,13.172
qcla_com_7,lx2_dynamic_repair_chi_packed_aa,203,62,5.892
qft_4,todd_exp_packedlocal_diff_1110,14,12,.002
qft_4,todd_exp_1110,14,12,.003
qft_4,lx2_dynamic_repair_chi_packed_aa,14,12,.001
rc_adder_6,todd_exp_packedlocal_diff_1110,77,38,1.327
rc_adder_6,todd_exp_1110,77,38,1.431
rc_adder_6,lx2_dynamic_repair_chi_packed_aa,77,38,1.094
tof_3,todd_exp_packedlocal_diff_1110,21,13,.002
tof_3,todd_exp_1110,21,13,.003
tof_3,lx2_dynamic_repair_chi_packed_aa,21,13,.002
tof_4,todd_exp_packedlocal_diff_1110,35,19,.017
tof_4,todd_exp_1110,35,19,.025
tof_4,lx2_dynamic_repair_chi_packed_aa,35,19,.014
tof_5,todd_exp_packedlocal_diff_1110,49,25,.050
tof_5,todd_exp_1110,49,25,.068
tof_5,lx2_dynamic_repair_chi_packed_aa,49,25,.057
tof_10,todd_exp_packedlocal_diff_1110,119,55,2.552
tof_10,todd_exp_1110,119,55,3.949
tof_10,lx2_dynamic_repair_chi_packed_aa,119,55,1.864
vbe_adder_3,todd_exp_packedlocal_diff_1110,70,19,.026
vbe_adder_3,todd_exp_1110,70,19,.051
vbe_adder_3,lx2_dynamic_repair_chi_packed_aa,70,19,.021
