circuit,variant,p,algorithm,input_tcount,output_tcount,total_exec_ms,total_exec_s,overall_exec_s,pairs_tested,sketch_filtered,sketch_skip_reuse,full_after_sketch,full_after_sketch_rate_pct,filtered_miss,nullspace_runs,rebuild_count,local_add_count,basis_update_count,basis_reuse_rate_pct,aa_ms,sketch_ms,sketch_build_ms,sketch_basis_ms,sketch_mem_ms,sketch_other_ms,chi_update_ms,basis_work_ms,nullspace_ms,sketch_rej_rate_pct,avg_sketch_rows,avg_sketch_basis,avg_affected_rows,avg_active_rows,reuse_mem_reject,reuse_ns_runs,reuse_no_pair_y,reuse_no_reduce,reuse_reduced,reuse_mem_rej_rate_pct,reuse_no_red_rate_pct,fail_count,outfile
gf2^10_mult.tfc,baseline,,lx2_dynamic_repair_chi_packed_aa,410,350,510345,510.345,521.51,63932,,,63932,100.000,63911,21,57891,6041,63932,9.449,1.535,,,,,,507762,507762,73.336,,,,21975.4,36388.1,,,,,,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260619_084626/logs/gf2^10_mult_lx2_dynamic_repair_chi_packed_aa.out
gf2^10_mult.tfc,reuse,3,lx2_dynamic_repair_chi_packed_aa_sketch_3,410,350,565335,565.335,576.426,63932,424,0,63508,99.337,63487,21,57849,5659,63508,8.911,1.064,54834.2,14242.4,19109.1,0.05,21482.7,508234,508234,57.202,0.663205,1095.62,230.119,22112.6,36571.3,0,0,0,0,0,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260619_084626/logs/gf2^10_mult_lx2_dynamic_repair_chi_packed_aa_sketch_3.out
gf2^10_mult.tfc,noreuse,3,lx2_dynamic_repair_chi_packed_aa_sketch_noreuse_3,410,350,660800,660.800,671.601,63932,424,0,63508,99.337,63487,21,63508,0,63508,0.000,1.07,55081.7,14155.8,19245.8,0.059,21680.1,603439,603439,54.312,0.663205,1095.62,230.119,0,36571.3,0,0,0,0,0,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260619_084626/logs/gf2^10_mult_lx2_dynamic_repair_chi_packed_aa_sketch_noreuse_3.out
gf2^10_mult.tfc,reuse,5,lx2_dynamic_repair_chi_packed_aa_sketch_5,410,350,568924,568.924,579.908,63932,2879,0,61053,95.497,61032,21,55592,5461,61053,8.945,1.067,83754.6,14133.1,32153.8,0.04,37467.7,482961,482961,56.12,4.50322,1820.34,293.976,22073.9,35957.4,0,0,0,0,0,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260619_084626/logs/gf2^10_mult_lx2_dynamic_repair_chi_packed_aa_sketch_5.out
gf2^10_mult.tfc,noreuse,5,lx2_dynamic_repair_chi_packed_aa_sketch_noreuse_5,410,350,660591,660.591,671.392,63932,2879,0,61053,95.497,61032,21,61053,0,61053,0.000,1.064,83879.4,14139.2,32268.3,0.039,37471.9,574495,574495,57.033,4.50322,1820.34,293.976,0,35957.4,0,0,0,0,0,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260619_084626/logs/gf2^10_mult_lx2_dynamic_repair_chi_packed_aa_sketch_noreuse_5.out
gf2^10_mult.tfc,reuse,8,lx2_dynamic_repair_chi_packed_aa_sketch_8,410,350,307845,307.845,319.3,63932,36492,0,27440,42.921,27419,21,24085,3355,27440,12.227,1.179,116616,14087.5,40244.7,0.018,62283.8,189752,189752,62.376,57.0794,2911.57,331.388,20531.1,29137.1,0,0,0,0,0,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260619_084626/logs/gf2^10_mult_lx2_dynamic_repair_chi_packed_aa_sketch_8.out
gf2^10_mult.tfc,noreuse,8,lx2_dynamic_repair_chi_packed_aa_sketch_noreuse_8,410,350,350501,350.501,361.699,63932,36492,0,27440,42.921,27419,21,27440,0,27440,0.000,1.035,116697,14054.6,40371.7,0.031,62270.9,232430,232430,58.254,57.0794,2911.57,331.388,0,29137.1,0,0,0,0,0,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260619_084626/logs/gf2^10_mult_lx2_dynamic_repair_chi_packed_aa_sketch_noreuse_8.out
gf2^10_mult.tfc,reuse,10,lx2_dynamic_repair_chi_packed_aa_sketch_10,410,350,216007,216.007,227.565,63932,50760,0,13172,20.603,13151,21,10818,2354,13172,17.871,1.145,135317,14092.9,42242.9,0.03,78981.6,79617.9,79617.9,58.427,79.3969,3639.43,338.309,18440.9,24456.2,0,0,0,0,0,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260619_084626/logs/gf2^10_mult_lx2_dynamic_repair_chi_packed_aa_sketch_10.out
gf2^10_mult.tfc,noreuse,10,lx2_dynamic_repair_chi_packed_aa_sketch_noreuse_10,410,350,239266,239.266,250.647,63932,50760,0,13172,20.603,13151,21,13172,0,13172,0.000,1.045,135482,14049.2,42307.7,0.022,79125.1,102767,102767,56.424,79.3969,3639.43,338.309,0,24456.2,0,0,0,0,0,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260619_084626/logs/gf2^10_mult_lx2_dynamic_repair_chi_packed_aa_sketch_noreuse_10.out
gf2^10_mult.tfc,reuse,13,lx2_dynamic_repair_chi_packed_aa_sketch_13,410,350,191154,191.154,202.597,63932,58277,0,5655,8.845,5634,21,4171,1484,5655,26.242,1.067,161983,14102.1,43851.7,0.015,104029,28344.8,28344.8,56.073,91.1547,4730.91,342.353,15869.5,19446.9,0,0,0,0,0,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260619_084626/logs/gf2^10_mult_lx2_dynamic_repair_chi_packed_aa_sketch_13.out
