circuit,algorithm,input_tcount,output_tcount,time_s
adder_8,todd_exp_packedlocal_diff_1110,399,129,1103.130
adder_8,todd_exp_1110,399,131,856.979
adder_8,lx2_dynamic_repair_chi_packed_aa,399,129,505.952
csla_mux_3,todd_exp_packedlocal_diff_1110,70,49,1.383
csla_mux_3,todd_exp_1110,70,50,2.769
csla_mux_3,lx2_dynamic_repair_chi_packed_aa,70,49,1.433
csum_mux_9,todd_exp_packedlocal_diff_1110,196,72,10.442
csum_mux_9,todd_exp_1110,196,72,14.540
csum_mux_9,lx2_dynamic_repair_chi_packed_aa,196,72,6.784
gf2^6_mult,todd_exp_packedlocal_diff_1110,252,122,9.810
gf2^6_mult,todd_exp_1110,252,124,18.482
gf2^6_mult,lx2_dynamic_repair_chi_packed_aa,252,122,7.573
gf2^7_mult,todd_exp_packedlocal_diff_1110,343,164,39.709
gf2^7_mult,todd_exp_1110,343,170,64.200
gf2^7_mult,lx2_dynamic_repair_chi_packed_aa,343,164,30.130
gf2^8_mult,todd_exp_packedlocal_diff_1110,448,220,132.935
gf2^8_mult,todd_exp_1110,448,222,195.863
gf2^8_mult,lx2_dynamic_repair_chi_packed_aa,448,220,79.775
gf2^9_mult,todd_exp_packedlocal_diff_1110,567,281,517.438
gf2^9_mult,todd_exp_1110,567,275,474.670
gf2^9_mult,lx2_dynamic_repair_chi_packed_aa,567,281,224.280
grover_5,todd_exp_packedlocal_diff_1110,336,144,375.637
grover_5,todd_exp_1110,336,144,340.924
grover_5,lx2_dynamic_repair_chi_packed_aa,336,144,130.841
ham15-low,todd_exp_packedlocal_diff_1110,161,78,21.461
ham15-low,todd_exp_1110,161,75,27.597
ham15-low,lx2_dynamic_repair_chi_packed_aa,161,78,8.677
tof_10,todd_exp_packedlocal_diff_1110,119,55,3.107
tof_10,todd_exp_1110,119,55,3.936
tof_10,lx2_dynamic_repair_chi_packed_aa,119,55,1.735
