circuit,algorithm,input_tcount,output_tcount,time_s
adder_8,todd_exp_packedlocal_diff_1110,399,129,1065.076
adder_8,todd_exp_1110,399,131,859.006
adder_8,lx2_dynamic_repair_chi_packed_aa,399,129,495.610
csla_mux_3,todd_exp_packedlocal_diff_1110,70,49,1.599
csla_mux_3,todd_exp_1110,70,50,3.606
csla_mux_3,lx2_dynamic_repair_chi_packed_aa,70,49,.935
csum_mux_9,todd_exp_packedlocal_diff_1110,196,72,10.009
csum_mux_9,todd_exp_1110,196,72,15.046
csum_mux_9,lx2_dynamic_repair_chi_packed_aa,196,72,5.980
gf2^6_mult,todd_exp_packedlocal_diff_1110,252,122,9.807
gf2^6_mult,todd_exp_1110,252,124,18.307
gf2^6_mult,lx2_dynamic_repair_chi_packed_aa,252,122,7.816
gf2^7_mult,todd_exp_packedlocal_diff_1110,343,164,39.971
gf2^7_mult,todd_exp_1110,343,170,64.235
gf2^7_mult,lx2_dynamic_repair_chi_packed_aa,343,164,30.696
gf2^8_mult,todd_exp_packedlocal_diff_1110,448,220,140.855
gf2^8_mult,todd_exp_1110,448,222,194.470
gf2^8_mult,lx2_dynamic_repair_chi_packed_aa,448,220,80.390
gf2^9_mult,todd_exp_packedlocal_diff_1110,567,281,524.449
gf2^9_mult,todd_exp_1110,567,275,476.136
gf2^9_mult,lx2_dynamic_repair_chi_packed_aa,567,281,225.970
grover_5,todd_exp_packedlocal_diff_1110,336,144,382.907
grover_5,todd_exp_1110,336,144,339.035
grover_5,lx2_dynamic_repair_chi_packed_aa,336,144,132.597
ham15-low,todd_exp_packedlocal_diff_1110,161,78,22.242
ham15-low,todd_exp_1110,161,75,27.351
ham15-low,lx2_dynamic_repair_chi_packed_aa,161,78,8.831
tof_10,todd_exp_packedlocal_diff_1110,119,55,2.890
tof_10,todd_exp_1110,119,55,4.237
tof_10,lx2_dynamic_repair_chi_packed_aa,119,55,1.768
