circuit,algorithm,input_tcount,output_tcount,time_s
barenco_tof_3,todd_exp_packedlocal_diff_1110,28,14,.003
barenco_tof_3,todd_exp_1110,28,14,.005
barenco_tof_3,lx2_dynamic_repair_chi_packed_aa,28,14,.003
barenco_tof_4,todd_exp_packedlocal_diff_1110,56,24,.054
barenco_tof_4,todd_exp_1110,56,24,.077
barenco_tof_4,lx2_dynamic_repair_chi_packed_aa,56,24,.043
barenco_tof_5,todd_exp_packedlocal_diff_1110,84,34,.295
barenco_tof_5,todd_exp_1110,84,34,.438
barenco_tof_5,lx2_dynamic_repair_chi_packed_aa,84,34,.213
barenco_tof_10,todd_exp_packedlocal_diff_1110,224,84,26.507
barenco_tof_10,todd_exp_1110,224,84,27.370
barenco_tof_10,lx2_dynamic_repair_chi_packed_aa,224,84,11.452
gf2^4_mult,todd_exp_packedlocal_diff_1110,112,54,.394
gf2^4_mult,todd_exp_1110,112,54,.618
gf2^4_mult,lx2_dynamic_repair_chi_packed_aa,112,54,.391
gf2^5_mult,todd_exp_packedlocal_diff_1110,175,88,4.220
gf2^5_mult,todd_exp_1110,175,86,5.326
gf2^5_mult,lx2_dynamic_repair_chi_packed_aa,175,88,3.151
ham15-med,todd_exp_packedlocal_diff_1110,574,163,3329.619
ham15-med,todd_exp_1110,574,167,2871.215
ham15-med,lx2_dynamic_repair_chi_packed_aa,574,163,1577.926
hwb6,todd_exp_packedlocal_diff_1110,105,52,2.235
hwb6,todd_exp_1110,105,53,3.761
hwb6,lx2_dynamic_repair_chi_packed_aa,105,52,1.775
mod5_4,todd_exp_packedlocal_diff_1110,28,16,.006
mod5_4,todd_exp_1110,28,16,.008
mod5_4,lx2_dynamic_repair_chi_packed_aa,28,16,.004
mod_mult_55,todd_exp_packedlocal_diff_1110,49,17,.040
mod_mult_55,todd_exp_1110,49,18,.051
mod_mult_55,lx2_dynamic_repair_chi_packed_aa,49,17,.023
mod_red_21,todd_exp_packedlocal_diff_1110,119,52,2.134
mod_red_21,todd_exp_1110,119,54,2.939
mod_red_21,lx2_dynamic_repair_chi_packed_aa,119,52,2.424
qcla_com_7,todd_exp_packedlocal_diff_1110,203,62,9.302
qcla_com_7,todd_exp_1110,203,62,13.120
qcla_com_7,lx2_dynamic_repair_chi_packed_aa,203,62,5.889
qft_4,todd_exp_packedlocal_diff_1110,14,12,.002
qft_4,todd_exp_1110,14,12,.003
qft_4,lx2_dynamic_repair_chi_packed_aa,14,12,.001
rc_adder_6,todd_exp_packedlocal_diff_1110,77,38,1.924
rc_adder_6,todd_exp_1110,77,38,1.612
rc_adder_6,lx2_dynamic_repair_chi_packed_aa,77,38,.640
tof_3,todd_exp_packedlocal_diff_1110,21,13,.002
tof_3,todd_exp_1110,21,13,.003
tof_3,lx2_dynamic_repair_chi_packed_aa,21,13,.001
tof_4,todd_exp_packedlocal_diff_1110,35,19,.017
tof_4,todd_exp_1110,35,19,.025
tof_4,lx2_dynamic_repair_chi_packed_aa,35,19,.011
tof_5,todd_exp_packedlocal_diff_1110,49,25,.074
tof_5,todd_exp_1110,49,25,.103
tof_5,lx2_dynamic_repair_chi_packed_aa,49,25,.041
tof_10,todd_exp_packedlocal_diff_1110,119,55,2.486
tof_10,todd_exp_1110,119,55,3.902
tof_10,lx2_dynamic_repair_chi_packed_aa,119,55,1.947
vbe_adder_3,todd_exp_packedlocal_diff_1110,70,19,.026
vbe_adder_3,todd_exp_1110,70,19,.037
vbe_adder_3,lx2_dynamic_repair_chi_packed_aa,70,19,.019
