circuit,algorithm,input_tcount,output_tcount,time_s
adder_8,todd_exp_packedlocal_diff_1110,399,129,1057.901
adder_8,todd_exp_1110,399,131,856.350
adder_8,lx2_dynamic_repair_chi_packed_aa,399,129,501.127
csla_mux_3,todd_exp_packedlocal_diff_1110,70,49,1.617
csla_mux_3,todd_exp_1110,70,50,3.767
csla_mux_3,lx2_dynamic_repair_chi_packed_aa,70,49,1.147
csum_mux_9,todd_exp_packedlocal_diff_1110,196,72,10.483
csum_mux_9,todd_exp_1110,196,72,14.782
csum_mux_9,lx2_dynamic_repair_chi_packed_aa,196,72,6.148
gf2^6_mult,todd_exp_packedlocal_diff_1110,252,122,10.608
gf2^6_mult,todd_exp_1110,252,124,18.254
gf2^6_mult,lx2_dynamic_repair_chi_packed_aa,252,122,7.552
gf2^7_mult,todd_exp_packedlocal_diff_1110,343,164,39.753
gf2^7_mult,todd_exp_1110,343,170,64.707
gf2^7_mult,lx2_dynamic_repair_chi_packed_aa,343,164,29.719
gf2^8_mult,todd_exp_packedlocal_diff_1110,448,220,135.824
gf2^8_mult,todd_exp_1110,448,222,194.701
gf2^8_mult,lx2_dynamic_repair_chi_packed_aa,448,220,79.409
gf2^9_mult,todd_exp_packedlocal_diff_1110,567,281,507.334
gf2^9_mult,todd_exp_1110,567,275,475.480
gf2^9_mult,lx2_dynamic_repair_chi_packed_aa,567,281,224.399
grover_5,todd_exp_packedlocal_diff_1110,336,144,381.778
grover_5,todd_exp_1110,336,144,339.747
grover_5,lx2_dynamic_repair_chi_packed_aa,336,144,130.311
ham15-low,todd_exp_packedlocal_diff_1110,161,78,21.768
ham15-low,todd_exp_1110,161,75,28.320
ham15-low,lx2_dynamic_repair_chi_packed_aa,161,78,8.920
tof_10,todd_exp_packedlocal_diff_1110,119,55,3.148
tof_10,todd_exp_1110,119,55,4.590
tof_10,lx2_dynamic_repair_chi_packed_aa,119,55,1.879
