circuit,algorithm,input_tcount,output_tcount,exec_ms,exec_s,chi_ms,aa_ms,nullspace_ms,sketch_mode,sketch_attempts,sketch_skipped,sketch_rejected,sketch_rank_rejected,sketch_pair_rejected,sketch_passed,sketch_rows_avg,sketch_y_vectors,sketch_pair_y,sketch_y_full_ok,sketch_y_full_ng,sketch_y_reduced,full_ns_skipped,full_ns_computed,sketch_ms,fail_count,outfile
gf2^7_mult,todd_exp_packedlocal_diff_1110,343,164,40605,41.6666,2686.33,0.752,37786.6,,,,,,,,,,,,,,,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/gf2_7_mult_20260528_045251/todd_exp_packedlocal_diff_1110.out
gf2^7_mult,todd_exp_packedlocal_diff_1111_m16,343,164,42809,43.8688,2673.05,0.751,37513.7,margin(16),16351,0,65,0,65,16286,180.925,1819389,101054,0,101054,0,65,16286,2481.34,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/gf2_7_mult_20260528_045251/todd_exp_packedlocal_diff_1111_m16.out
gf2^7_mult,todd_exp_packedlocal_diff_1111_m32,343,164,43254,44.3047,2668.68,0.741,37886.4,margin(32),16356,0,73,0,73,16283,196.927,1756939,107382,0,107382,0,73,16283,2559.38,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/gf2_7_mult_20260528_045251/todd_exp_packedlocal_diff_1111_m32.out
gf2^7_mult,todd_exp_packedlocal_diff_1111_m64,343,164,43127,44.1843,2656.64,0.722,37596.3,margin(64),16381,0,109,0,109,16272,228.938,1638757,118498,0,118498,0,109,16272,2735.52,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/gf2_7_mult_20260528_045251/todd_exp_packedlocal_diff_1111_m64.out
gf2^7_mult,todd_exp_packedlocal_diff_1111_r128,343,164,42636,43.714,2630.88,0.7,37553.4,fixed(128),16347,0,59,0,59,16288,164.924,1884485,95218,0,95218,0,59,16288,2316.26,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/gf2_7_mult_20260528_045251/todd_exp_packedlocal_diff_1111_r128.out
gf2^7_mult,todd_exp_packedlocal_diff_1111_r256,343,164,45402,46.4507,2821.45,0.768,39321.1,fixed(256),16397,0,134,0,134,16263,256,1542901,128032,0,128032,0,134,16263,3116.06,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/gf2_7_mult_20260528_045251/todd_exp_packedlocal_diff_1111_r256.out
gf2^7_mult,todd_exp_packedlocal_diff_1111_r512,343,164,45008,46.0648,2693.24,0.724,37453.7,fixed(512),16581,0,451,0,451,16130,512,838403,156108,0,156108,0,451,16130,4722.96,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/gf2_7_mult_20260528_045251/todd_exp_packedlocal_diff_1111_r512.out
gf2^7_mult,todd_exp_packedlocal_diff_1111_p5,343,164,41381,42.4383,2698.97,0.738,32175.8,percent(5),16509,0,1994,0,1994,14515,732.358,516294,89450,0,89450,0,1994,14515,6367.68,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/gf2_7_mult_20260528_045251/todd_exp_packedlocal_diff_1111_p5.out
gf2^7_mult,todd_exp_packedlocal_diff_1111_p10,343,164,22830,23.9205,2651.5,0.713,7978.82,percent(10),17438,0,12459,0,12459,4979,1457.59,150398,17961,1,17960,1,12460,4978,12069.9,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/gf2_7_mult_20260528_045251/todd_exp_packedlocal_diff_1111_p10.out
gf2^7_mult,todd_exp_packedlocal_diff_1111_p20,343,164,26829,27.9193,2657.84,0.699,965.784,percent(20),18714,0,17892,0,17892,822,2829.34,70843,2274,4,2270,4,17896,818,23077.7,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/gf2_7_mult_20260528_045251/todd_exp_packedlocal_diff_1111_p20.out
