circuit,algorithm,input_tcount,output_tcount,total_exec_ms,overall_exec_s,pairs_tested,sketch_filtered,filtered_miss,nullspace_runs,rebuild_count,local_add_count,aa_ms,sketch_ms,chi_update_ms,basis_work_ms,nullspace_ms,sketch_rej_rate_pct,avg_sketch_rows,avg_sketch_basis,avg_affected_rows,avg_active_rows,fail_count,outfile
barenco_tof_5,lx2_dynamic_repair_chi_packed_aa_sketch_8,84,34,107,0.179227,715,505,207,3,165,45,0.046,57.081,46.852,46.852,0.797,70.6294,325.708,28.0587,2827.64,2851.5,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/barenco_tof_5_lx2_dynamic_repair_chi_packed_aa_sketch_8.out
barenco_tof_5,lx2_dynamic_repair_chi_packed_aa_sketch_10,84,34,103,0.175311,715,549,163,3,128,38,0.048,64.566,35.492,35.492,0.801,76.7832,407.066,28.958,2803.7,2690.52,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/barenco_tof_5_lx2_dynamic_repair_chi_packed_aa_sketch_10.out
barenco_tof_5,lx2_dynamic_repair_chi_packed_aa_sketch_13,84,34,100,0.171769,715,610,102,3,84,21,0.049,75.102,21.646,21.646,0.795,85.3147,529.032,29.8713,2726.23,2429.62,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/barenco_tof_5_lx2_dynamic_repair_chi_packed_aa_sketch_13.out
barenco_tof_5,lx2_dynamic_repair_chi_packed_aa_sketch_15,84,34,99,0.171249,715,642,70,3,58,15,0.048,82.003,14.223,14.223,0.788,89.7902,610.396,30.2979,2598,2175.27,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/barenco_tof_5_lx2_dynamic_repair_chi_packed_aa_sketch_15.out
barenco_tof_10,lx2_dynamic_repair_chi_packed_aa,224,84,10961,23.6427,4756,,4748,8,4001,755,0.436,,10775.5,10775.5,18.842,,,,22072.6,39261.3,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/barenco_tof_10_lx2_dynamic_repair_chi_packed_aa.out
barenco_tof_10,lx2_dynamic_repair_chi_packed_aa_sketch_5,224,84,6431,19.0821,4756,2595,2153,8,1802,359,0.289,2117.21,4219.77,4219.77,13.087,54.5627,1963.46,70.5679,24407.2,30154.7,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/barenco_tof_10_lx2_dynamic_repair_chi_packed_aa_sketch_5.out
barenco_tof_10,lx2_dynamic_repair_chi_packed_aa_sketch_8,224,84,7858,20.9313,4756,3667,1081,8,881,208,0.495,4547.88,3197.02,3197.02,24.051,77.1026,3141.42,75.2683,23506.7,22203.6,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/barenco_tof_10_lx2_dynamic_repair_chi_packed_aa_sketch_8.out
barenco_tof_10,lx2_dynamic_repair_chi_packed_aa_sketch_10,224,84,5879,18.5952,4756,4007,741,8,614,135,0.486,3783.86,1999.12,1999.12,24.153,84.2515,3926.62,76.9813,23230,19158.5,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/barenco_tof_10_lx2_dynamic_repair_chi_packed_aa_sketch_10.out
barenco_tof_10,lx2_dynamic_repair_chi_packed_aa_sketch_13,224,84,5881,18.5723,4756,4303,445,8,379,74,0.497,4611.22,1187.52,1187.52,22.506,90.4752,5104.59,78.7122,22533.8,16397.2,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/barenco_tof_10_lx2_dynamic_repair_chi_packed_aa_sketch_13.out
barenco_tof_10,lx2_dynamic_repair_chi_packed_aa_sketch_15,224,84,4813,17.4888,4756,4421,327,8,285,50,0.442,4081.34,663.585,663.585,19.955,92.9563,5889.63,79.4603,21769.7,15087.4,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/barenco_tof_10_lx2_dynamic_repair_chi_packed_aa_sketch_15.out
