circuit,algorithm,input_tcount,output_tcount,total_exec_ms,overall_exec_s,pairs_tested,sketch_filtered,filtered_miss,nullspace_runs,rebuild_count,local_add_count,aa_ms,sketch_ms,chi_update_ms,basis_work_ms,nullspace_ms,sketch_rej_rate_pct,avg_sketch_rows,avg_sketch_basis,avg_affected_rows,avg_active_rows,fail_count,outfile
mod5_4,lx2_dynamic_repair_chi_packed_aa_sketch_15,28,16,3,0.006318,120,87,33,0,29,4,0.008,2.258,1.346,1.346,0,72.5,96.4333,12.0583,546.906,576.606,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/mod5_4_lx2_dynamic_repair_chi_packed_aa_sketch_15.out
mod_mult_55,lx2_dynamic_repair_chi_packed_aa,49,17,22,0.070783,223,,219,4,118,105,0.049,,20.069,20.069,0.489,,,,1366.84,2726.02,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/mod_mult_55_lx2_dynamic_repair_chi_packed_aa.out
mod_mult_55,lx2_dynamic_repair_chi_packed_aa_sketch_5,49,17,23,0.071396,223,91,128,4,75,57,0.05,8.018,12.727,12.727,0.494,40.8072,136.928,10.5247,1514.39,2392.05,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/mod_mult_55_lx2_dynamic_repair_chi_packed_aa_sketch_5.out
mod_mult_55,lx2_dynamic_repair_chi_packed_aa_sketch_8,49,17,15,0.047549,223,135,84,4,49,39,0.039,7.541,6.401,6.401,0.427,60.5381,218.726,12.3363,1352.4,1986.17,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/mod_mult_55_lx2_dynamic_repair_chi_packed_aa_sketch_8.out
mod_mult_55,lx2_dynamic_repair_chi_packed_aa_sketch_10,49,17,19,0.067746,223,150,69,4,40,33,0.048,10.813,6.567,6.567,0.483,67.2646,273.049,13.0673,1350.93,1765.16,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/mod_mult_55_lx2_dynamic_repair_chi_packed_aa_sketch_10.out
mod_mult_55,lx2_dynamic_repair_chi_packed_aa_sketch_13,49,17,14,0.047084,223,173,46,4,27,23,0.043,9.595,3.513,3.513,0.408,77.5785,354.816,13.9552,1127.67,1425.78,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/mod_mult_55_lx2_dynamic_repair_chi_packed_aa_sketch_13.out
mod_mult_55,lx2_dynamic_repair_chi_packed_aa_sketch_15,49,17,15,0.047197,223,182,37,4,22,19,0.041,10.385,2.89,2.89,0.413,81.6143,409.601,14.426,1023.52,1261.27,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/mod_mult_55_lx2_dynamic_repair_chi_packed_aa_sketch_15.out
mod_red_21,lx2_dynamic_repair_chi_packed_aa,119,52,1878,2.23016,3377,,3367,10,2716,661,0.213,,1835.17,1835.17,6.632,,,,5307.88,8336.05,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/mod_red_21_lx2_dynamic_repair_chi_packed_aa.out
mod_red_21,lx2_dynamic_repair_chi_packed_aa_sketch_5,119,52,1192,1.54106,3377,1302,2065,10,1727,348,0.144,283.862,882.511,882.511,4.306,38.5549,417.318,42.5988,5769.12,7423.13,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/mod_red_21_lx2_dynamic_repair_chi_packed_aa_sketch_5.out
mod_red_21,lx2_dynamic_repair_chi_packed_aa_sketch_8,119,52,1508,2.09365,3377,2119,1248,10,1049,209,0.217,622.627,852.203,852.203,7.1,62.748,667.542,46.5534,6042.4,6545.12,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/mod_red_21_lx2_dynamic_repair_chi_packed_aa_sketch_8.out
mod_red_21,lx2_dynamic_repair_chi_packed_aa_sketch_10,119,52,778,1.12913,3377,2473,894,10,753,151,0.138,412.716,346.357,346.357,4.268,73.2307,833.982,48.0589,6177.15,6059.61,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/mod_red_21_lx2_dynamic_repair_chi_packed_aa_sketch_10.out
mod_red_21,lx2_dynamic_repair_chi_packed_aa_sketch_13,119,52,1052,1.40476,3377,2793,574,10,478,106,0.22,683.255,341.594,341.594,7.205,82.7065,1084.1,49.5132,6088.75,5417.48,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/mod_red_21_lx2_dynamic_repair_chi_packed_aa_sketch_13.out
mod_red_21,lx2_dynamic_repair_chi_packed_aa_sketch_15,119,52,1200,1.64007,3377,2927,440,10,371,79,0.215,905.68,267.676,267.676,6.959,86.6746,1250.96,50.1774,6140.24,5173.91,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/mod_red_21_lx2_dynamic_repair_chi_packed_aa_sketch_15.out
qcla_com_7,lx2_dynamic_repair_chi_packed_aa,203,62,5585,9.75714,4441,,4430,11,3501,940,0.279,,5480.74,5480.74,15.437,,,,15196.1,24308,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/qcla_com_7_lx2_dynamic_repair_chi_packed_aa.out
qcla_com_7,lx2_dynamic_repair_chi_packed_aa_sketch_5,203,62,3187,7.37222,4441,3234,1196,11,919,288,0.482,1393.24,1708.28,1708.28,23.86,72.8214,1215.88,56.2382,16235.2,16383,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/qcla_com_7_lx2_dynamic_repair_chi_packed_aa_sketch_5.out
qcla_com_7,lx2_dynamic_repair_chi_packed_aa_sketch_8,203,62,3363,10.3972,4441,3834,596,11,439,168,0.506,2368.38,916.167,916.167,27.179,86.3319,1945.25,59.3373,14673.7,12784,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/qcla_com_7_lx2_dynamic_repair_chi_packed_aa_sketch_8.out
qcla_com_7,lx2_dynamic_repair_chi_packed_aa_sketch_10,203,62,2630,6.81398,4441,4024,406,11,303,114,0.484,2023.24,538.485,538.485,24.572,90.6102,2431.25,60.3222,13711.2,11358.5,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/qcla_com_7_lx2_dynamic_repair_chi_packed_aa_sketch_10.out
qcla_com_7,lx2_dynamic_repair_chi_packed_aa_sketch_13,203,62,2054,6.22018,4441,4196,234,11,183,62,0.278,1822.82,189.975,189.975,16.053,94.4832,3160.46,61.1828,12032.3,9492.1,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/qcla_com_7_lx2_dynamic_repair_chi_packed_aa_sketch_13.out
qcla_com_7,lx2_dynamic_repair_chi_packed_aa_sketch_15,203,62,3243,7.43241,4441,4247,183,11,146,48,0.48,2908.01,268.804,268.804,26.938,95.6316,3646.69,61.5373,11948.4,9316.56,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/qcla_com_7_lx2_dynamic_repair_chi_packed_aa_sketch_15.out
qft_4,lx2_dynamic_repair_chi_packed_aa,14,12,1,0.004407,91,,90,1,37,54,0.012,,1.606,1.606,0.052,,,,266.367,580.264,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/qft_4_lx2_dynamic_repair_chi_packed_aa.out
qft_4,lx2_dynamic_repair_chi_packed_aa_sketch_5,14,12,2,0.005195,91,27,63,1,33,31,0.011,0.902,1.446,1.446,0.051,29.6703,29.8132,5.64835,341.381,567.125,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/qft_4_lx2_dynamic_repair_chi_packed_aa_sketch_5.out
qft_4,lx2_dynamic_repair_chi_packed_aa_sketch_8,14,12,2,0.004932,91,48,42,1,24,19,0.012,1.067,1.06,1.06,0.058,52.7473,46.8352,6.79121,379,503.372,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/qft_4_lx2_dynamic_repair_chi_packed_aa_sketch_8.out
qft_4,lx2_dynamic_repair_chi_packed_aa_sketch_10,14,12,2,0.004801,91,57,33,1,19,15,0.012,1.188,0.823,0.823,0.052,62.6374,58.5604,7.34066,337.394,486.412,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/qft_4_lx2_dynamic_repair_chi_packed_aa_sketch_10.out
qft_4,lx2_dynamic_repair_chi_packed_aa_sketch_13,14,12,2,0.004643,91,72,18,1,12,7,0.017,1.358,0.519,0.519,0.051,79.1209,75.9341,7.95604,373.222,445.263,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/qft_4_lx2_dynamic_repair_chi_packed_aa_sketch_13.out
qft_4,lx2_dynamic_repair_chi_packed_aa_sketch_15,14,12,2,0.004654,91,74,16,1,11,6,0.011,1.418,0.477,0.477,0.05,81.3187,87.5604,8.15385,359.062,422.824,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/qft_4_lx2_dynamic_repair_chi_packed_aa_sketch_15.out
rc_adder_6,lx2_dynamic_repair_chi_packed_aa,77,38,1040,2.38937,1281,,1276,5,891,390,0.171,,1007.83,1007.83,5.813,,,,9838.03,14849.7,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/rc_adder_6_lx2_dynamic_repair_chi_packed_aa.out
rc_adder_6,lx2_dynamic_repair_chi_packed_aa_sketch_5,77,38,331,1.56077,1281,840,436,5,294,147,0.107,161.285,157.123,157.123,3.507,65.5738,742.94,31.6237,9072.53,9447.62,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/rc_adder_6_lx2_dynamic_repair_chi_packed_aa_sketch_5.out
rc_adder_6,lx2_dynamic_repair_chi_packed_aa_sketch_8,77,38,503,2.09265,1281,1051,225,5,173,57,0.165,339.293,146.749,146.749,5.688,82.0453,1188.43,33.8915,10155.1,8398.47,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/rc_adder_6_lx2_dynamic_repair_chi_packed_aa_sketch_8.out
rc_adder_6,lx2_dynamic_repair_chi_packed_aa_sketch_10,77,38,502,2.41472,1281,1123,153,5,125,33,0.168,381.82,105.155,105.155,5.748,87.6659,1485.41,34.6589,10576.3,8003.68,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/rc_adder_6_lx2_dynamic_repair_chi_packed_aa_sketch_10.out
rc_adder_6,lx2_dynamic_repair_chi_packed_aa_sketch_13,77,38,522,2.27902,1281,1193,83,5,74,14,0.166,441.83,65.573,65.573,5.81,93.1304,1930.73,35.3786,10838.2,8102.33,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/rc_adder_6_lx2_dynamic_repair_chi_packed_aa_sketch_13.out
rc_adder_6,lx2_dynamic_repair_chi_packed_aa_sketch_15,77,38,322,1.55502,1281,1225,51,5,49,7,0.11,285.195,28.238,28.238,3.552,95.6284,2227.94,35.6315,10433.2,8007.32,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/rc_adder_6_lx2_dynamic_repair_chi_packed_aa_sketch_15.out
tof_3,lx2_dynamic_repair_chi_packed_aa,21,13,1,0.002637,103,,102,1,64,39,0.008,,1.553,1.553,0.024,,,,148.01,235.019,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/tof_3_lx2_dynamic_repair_chi_packed_aa.out
tof_3,lx2_dynamic_repair_chi_packed_aa_sketch_5,21,13,1,0.002402,103,33,69,1,55,15,0.006,0.452,1.046,1.046,0.02,32.0388,14.7767,6.83495,188.029,250.4,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/tof_3_lx2_dynamic_repair_chi_packed_aa_sketch_5.out
tof_3,lx2_dynamic_repair_chi_packed_aa_sketch_8,21,13,2,0.0033,103,49,53,1,42,12,0.008,0.806,1.156,1.156,0.03,47.5728,20.3689,7.75728,185.623,234.315,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/tof_3_lx2_dynamic_repair_chi_packed_aa_sketch_8.out
tof_3,lx2_dynamic_repair_chi_packed_aa_sketch_10,21,13,2,0.003191,103,55,47,1,37,11,0.008,0.851,1.071,1.071,0.029,53.3981,24.1359,8.1165,184.979,225.583,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/tof_3_lx2_dynamic_repair_chi_packed_aa_sketch_10.out
tof_3,lx2_dynamic_repair_chi_packed_aa_sketch_13,21,13,1,0.002462,103,69,33,1,24,10,0.006,0.833,0.539,0.539,0.03,66.9903,31.1845,8.81553,169.727,200.353,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/tof_3_lx2_dynamic_repair_chi_packed_aa_sketch_13.out
tof_3,lx2_dynamic_repair_chi_packed_aa_sketch_15,21,13,1,0.002802,103,75,27,1,20,8,0.008,1.035,0.498,0.498,0.03,72.8155,35.8252,9.16505,165.963,196.464,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/tof_3_lx2_dynamic_repair_chi_packed_aa_sketch_15.out
tof_4,lx2_dynamic_repair_chi_packed_aa,35,19,13,0.017603,230,,228,2,161,69,0.018,,13.074,13.074,0.13,,,,515.638,792.13,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/tof_4_lx2_dynamic_repair_chi_packed_aa.out
tof_4,lx2_dynamic_repair_chi_packed_aa_sketch_5,35,19,11,0.01438,230,71,157,2,119,40,0.014,2.807,7.811,7.811,0.115,30.8696,41.2957,11.7826,556.911,768.377,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/tof_4_lx2_dynamic_repair_chi_packed_aa_sketch_5.out
tof_4,lx2_dynamic_repair_chi_packed_aa_sketch_8,35,19,8,0.011774,230,128,100,2,74,28,0.014,3.461,4.431,4.431,0.109,55.6522,64.0304,13.5043,558.317,639.304,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/tof_4_lx2_dynamic_repair_chi_packed_aa_sketch_8.out
tof_4,lx2_dynamic_repair_chi_packed_aa_sketch_10,35,19,7,0.010677,230,141,87,2,66,23,0.013,3.557,3.569,3.569,0.096,61.3043,79.7652,14.2304,586.705,635.629,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/tof_4_lx2_dynamic_repair_chi_packed_aa_sketch_10.out
tof_4,lx2_dynamic_repair_chi_packed_aa_sketch_13,35,19,7,0.010715,230,173,55,2,44,13,0.015,4.456,2.531,2.531,0.111,75.2174,103.561,15.1043,592.964,584.842,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/tof_4_lx2_dynamic_repair_chi_packed_aa_sketch_13.out
tof_4,lx2_dynamic_repair_chi_packed_aa_sketch_15,35,19,8,0.012766,230,181,47,2,38,11,0.017,5.731,2.513,2.513,0.127,78.6957,119.322,15.5087,573.167,581.898,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/tof_4_lx2_dynamic_repair_chi_packed_aa_sketch_15.out
tof_5,lx2_dynamic_repair_chi_packed_aa,49,25,55,0.070263,426,,423,3,309,117,0.033,,52.968,52.968,0.396,,,,1137.24,1792.46,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/tof_5_lx2_dynamic_repair_chi_packed_aa.out
tof_5,lx2_dynamic_repair_chi_packed_aa_sketch_5,49,25,36,0.046668,426,134,289,3,223,69,0.028,9.072,26.014,26.014,0.326,31.4554,90.0845,16.7324,1227.74,1694.12,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/tof_5_lx2_dynamic_repair_chi_packed_aa_sketch_5.out
tof_5,lx2_dynamic_repair_chi_packed_aa_sketch_8,49,25,29,0.039169,426,232,191,3,144,50,0.028,11.452,15.888,15.888,0.329,54.4601,143.866,19,1204.03,1481.08,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/tof_5_lx2_dynamic_repair_chi_packed_aa_sketch_8.out
tof_5,lx2_dynamic_repair_chi_packed_aa_sketch_10,49,25,26,0.03654,426,285,138,3,103,38,0.028,13.303,11.186,11.186,0.331,66.9014,179.789,19.946,1228.88,1315.54,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/tof_5_lx2_dynamic_repair_chi_packed_aa_sketch_10.out
tof_5,lx2_dynamic_repair_chi_packed_aa_sketch_13,49,25,31,0.046462,426,330,93,3,73,23,0.033,20.546,8.877,8.877,0.386,77.4648,233.681,20.9648,1183.89,1149.32,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/tof_5_lx2_dynamic_repair_chi_packed_aa_sketch_13.out
tof_5,lx2_dynamic_repair_chi_packed_aa_sketch_15,49,25,24,0.034884,426,355,68,3,62,9,0.028,16.874,5.979,5.979,0.321,83.3333,269.284,21.4202,1378.37,1154.41,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/tof_5_lx2_dynamic_repair_chi_packed_aa_sketch_15.out
tof_10,lx2_dynamic_repair_chi_packed_aa,119,55,2798,4.54021,2269,,2261,8,1752,517,0.248,,2739.89,2739.89,7.953,,,,8716.48,15697.5,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/tof_10_lx2_dynamic_repair_chi_packed_aa.out
tof_10,lx2_dynamic_repair_chi_packed_aa_sketch_5,119,55,1021,2.26983,2269,1120,1141,8,874,275,0.152,336.546,658.843,658.843,4.775,49.361,785.322,42.5302,9166.67,11456.4,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/tof_10_lx2_dynamic_repair_chi_packed_aa_sketch_5.out
tof_10,lx2_dynamic_repair_chi_packed_aa_sketch_8,119,55,771,2.01682,2269,1582,679,8,507,180,0.148,421.439,328.897,328.897,4.795,69.7223,1256.2,46.5619,8666.93,8749.99,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/tof_10_lx2_dynamic_repair_chi_packed_aa_sketch_8.out
tof_10,lx2_dynamic_repair_chi_packed_aa_sketch_10,119,55,1206,2.54869,2269,1762,499,8,363,144,0.246,815.864,358.69,358.69,8.134,77.6554,1570.27,48.2636,7854.5,7260.6,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/tof_10_lx2_dynamic_repair_chi_packed_aa_sketch_10.out
tof_10,lx2_dynamic_repair_chi_packed_aa_sketch_13,119,55,725,1.97252,2269,1924,337,8,260,85,0.151,565.589,141.951,141.951,4.807,84.7951,2041.04,50.0454,7720.41,6371.32,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/tof_10_lx2_dynamic_repair_chi_packed_aa_sketch_13.out
tof_10,lx2_dynamic_repair_chi_packed_aa_sketch_15,119,55,1261,2.62827,2269,2005,256,8,199,65,0.251,1052.78,179.914,179.914,8.246,88.3649,2355.06,50.9185,7501.97,5793.08,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/tof_10_lx2_dynamic_repair_chi_packed_aa_sketch_15.out
vbe_adder_3,lx2_dynamic_repair_chi_packed_aa,70,19,20,0.029786,225,,223,2,159,66,0.02,,19.78,19.78,0.187,,,,985.804,1705.6,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/vbe_adder_3_lx2_dynamic_repair_chi_packed_aa.out
vbe_adder_3,lx2_dynamic_repair_chi_packed_aa_sketch_5,70,19,9,0.01769,225,164,59,2,46,15,0.016,4.194,4.188,4.188,0.154,72.8889,85.7333,15.3867,1137.2,1292.51,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/vbe_adder_3_lx2_dynamic_repair_chi_packed_aa_sketch_5.out
vbe_adder_3,lx2_dynamic_repair_chi_packed_aa_sketch_8,70,19,9,0.019119,225,199,24,2,21,5,0.02,6.203,2.216,2.216,0.203,88.4444,137.08,16.5067,1200.76,1110,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/vbe_adder_3_lx2_dynamic_repair_chi_packed_aa_sketch_8.out
vbe_adder_3,lx2_dynamic_repair_chi_packed_aa_sketch_10,70,19,11,0.024153,225,207,16,2,16,2,0.022,8.683,1.993,1.993,0.213,92,171.093,16.7378,1135.12,1081.89,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/vbe_adder_3_lx2_dynamic_repair_chi_packed_aa_sketch_10.out
vbe_adder_3,lx2_dynamic_repair_chi_packed_aa_sketch_13,70,19,12,0.024775,225,215,8,2,10,0,0.021,9.986,1.332,1.332,0.222,95.5556,222.413,17.0356,1216.78,1081.6,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/vbe_adder_3_lx2_dynamic_repair_chi_packed_aa_sketch_13.out
vbe_adder_3,lx2_dynamic_repair_chi_packed_aa_sketch_15,70,19,12,0.024932,225,222,1,2,3,0,0.021,10.771,0.534,0.534,0.232,98.6667,256.36,17.1644,0,859.667,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/vbe_adder_3_lx2_dynamic_repair_chi_packed_aa_sketch_15.out
gf2^9_mult,lx2_dynamic_repair_chi_packed_aa,567,281,219647,225.222,42091,,42065,26,38090,4001,1.149,,218289,218289,47.165,,,,18203.9,29667.7,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/gf2_9_mult_lx2_dynamic_repair_chi_packed_aa.out
gf2^9_mult,lx2_dynamic_repair_chi_packed_aa_sketch_5,567,281,231347,236.915,42091,3928,38137,26,34775,3388,1.178,33824.1,196212,196212,47.849,9.33216,1484.24,239.11,18267.3,28913.2,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/gf2_9_mult_lx2_dynamic_repair_chi_packed_aa_sketch_5.out
gf2^9_mult,lx2_dynamic_repair_chi_packed_aa_sketch_8,567,281,101847,107.593,42091,29016,13049,26,11167,1908,1.342,46219.4,54657.9,54657.9,55.277,68.9364,2373.9,266.421,15958.8,21406.7,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/gf2_9_mult_lx2_dynamic_repair_chi_packed_aa_sketch_8.out
gf2^9_mult,lx2_dynamic_repair_chi_packed_aa_sketch_10,567,281,78939,84.7022,42091,35711,6354,26,5012,1368,1.759,53794.9,24040.1,24040.1,73.148,84.8424,2967.37,271.172,13816.9,17175.6,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/gf2_9_mult_lx2_dynamic_repair_chi_packed_aa_sketch_10.out
gf2^9_mult,lx2_dynamic_repair_chi_packed_aa_sketch_13,567,281,73819,79.5993,42091,38874,3191,26,2275,942,1.442,63610.7,9360.45,9360.45,57.487,92.357,3857.4,274.313,11405.3,13455,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/gf2_9_mult_lx2_dynamic_repair_chi_packed_aa_sketch_13.out
gf2^9_mult,lx2_dynamic_repair_chi_packed_aa_sketch_15,567,281,76272,82.0523,42091,39985,2080,26,1385,721,1.056,70197,5476.95,5476.95,45.225,94.9966,4450.54,275.503,10281.9,11684.8,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_multi_20260603_135857/gf2_9_mult_lx2_dynamic_repair_chi_packed_aa_sketch_15.out
