circuit,algorithm,input_tcount,output_tcount,time_s
adder_8,todd_exp_packedlocal_diff_1110,399,129,1055.538
adder_8,todd_exp_1110,399,131,859.680
adder_8,lx2_dynamic_repair_chi_packed_aa,399,129,499.097
csla_mux_3,todd_exp_packedlocal_diff_1110,70,49,1.445
csla_mux_3,todd_exp_1110,70,50,2.807
csla_mux_3,lx2_dynamic_repair_chi_packed_aa,70,49,.957
csum_mux_9,todd_exp_packedlocal_diff_1110,196,72,10.395
csum_mux_9,todd_exp_1110,196,72,14.526
csum_mux_9,lx2_dynamic_repair_chi_packed_aa,196,72,6.161
gf2^6_mult,todd_exp_packedlocal_diff_1110,252,122,12.334
gf2^6_mult,todd_exp_1110,252,124,18.217
gf2^6_mult,lx2_dynamic_repair_chi_packed_aa,252,122,7.788
gf2^7_mult,todd_exp_packedlocal_diff_1110,343,164,39.697
gf2^7_mult,todd_exp_1110,343,170,64.212
gf2^7_mult,lx2_dynamic_repair_chi_packed_aa,343,164,30.076
gf2^8_mult,todd_exp_packedlocal_diff_1110,448,220,139.549
gf2^8_mult,todd_exp_1110,448,222,194.574
gf2^8_mult,lx2_dynamic_repair_chi_packed_aa,448,220,79.494
gf2^9_mult,todd_exp_packedlocal_diff_1110,567,281,524.621
gf2^9_mult,todd_exp_1110,567,275,474.614
gf2^9_mult,lx2_dynamic_repair_chi_packed_aa,567,281,226.785
grover_5,todd_exp_packedlocal_diff_1110,336,144,377.497
grover_5,todd_exp_1110,336,144,340.809
grover_5,lx2_dynamic_repair_chi_packed_aa,336,144,131.524
ham15-low,todd_exp_packedlocal_diff_1110,161,78,21.403
ham15-low,todd_exp_1110,161,75,27.447
ham15-low,lx2_dynamic_repair_chi_packed_aa,161,78,9.169
tof_10,todd_exp_packedlocal_diff_1110,119,55,2.953
tof_10,todd_exp_1110,119,55,4.095
tof_10,lx2_dynamic_repair_chi_packed_aa,119,55,2.064
