circuit,algorithm,input_tcount,output_tcount,total_exec_ms,overall_exec_s,chi_ms,aa_ms,nullspace_ms,sketch_ms,reject_rate_pct,sketch_mode,sketch_attempts,sketch_skipped,sketch_rejected,sketch_rank_rejected,sketch_pair_rejected,pair_reject_rate_pct,sketch_passed,sketch_rows_avg,sketch_y_vectors,sketch_pair_y,sketch_y_full_ok,sketch_y_full_ng,sketch_y_reduced,full_ns_skipped,full_ns_skip_rate_pct,full_ns_computed,fail_count,outfile
gf2^7_mult,todd_exp_packedlocal_diff_1110,343,164,40774,41.8801,2725.88,0.747,37917.2,,,,,,,,,,,,,,,,,,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/gf2_7_mult_20260528_051454/todd_exp_packedlocal_diff_1110.out
gf2^7_mult,todd_exp_packedlocal_diff_1111_p5,343,164,40790,41.9072,2650.01,0.75,31700.9,6294.21,12.08,percent(5),16509,0,1994,0,1994,12.08,14515,732.358,516294,89450,0,89450,0,1994,12.08,14515,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/gf2_7_mult_20260528_051454/todd_exp_packedlocal_diff_1111_p5.out
gf2^7_mult,todd_exp_packedlocal_diff_1111_p10,343,164,23224,24.31,2681.61,0.76,8227.58,12173.1,71.45,percent(10),17438,0,12459,0,12459,71.45,4979,1457.59,150398,17961,1,17960,1,12460,71.45,4978,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/gf2_7_mult_20260528_051454/todd_exp_packedlocal_diff_1111_p10.out
gf2^7_mult,todd_exp_packedlocal_diff_1111_p15,343,164,23177,24.2738,2657.82,0.779,2620.55,17760.1,89.69,percent(15),18193,0,16317,0,16317,89.69,1876,2152.47,88633,5646,2,5644,2,16319,89.70,1874,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/gf2_7_mult_20260528_051454/todd_exp_packedlocal_diff_1111_p15.out
gf2^7_mult,todd_exp_packedlocal_diff_1111_p20,343,164,26642,27.6959,2637.86,0.442,930.436,22986.3,95.61,percent(20),18714,0,17892,0,17892,95.61,822,2829.34,70843,2274,4,2270,4,17896,95.63,818,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/gf2_7_mult_20260528_051454/todd_exp_packedlocal_diff_1111_p20.out
gf2^7_mult,todd_exp_packedlocal_diff_1111_p25,343,164,31435,32.4894,2634.93,0.446,404.558,28304,97.84,percent(25),19000,0,18589,0,18589,97.84,411,3505.53,62982,1108,4,1104,4,18593,97.86,407,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/gf2_7_mult_20260528_051454/todd_exp_packedlocal_diff_1111_p25.out
gf2^7_mult,todd_exp_packedlocal_diff_1111_p30,343,164,36553,37.6256,2625.91,0.701,209.415,33590.2,98.80,percent(30),19155,0,18925,0,18925,98.80,230,4184.86,58775,565,5,560,5,18930,98.83,225,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/gf2_7_mult_20260528_051454/todd_exp_packedlocal_diff_1111_p30.out
