circuit,variant,p,algorithm,input_tcount,output_tcount,total_exec_ms,total_exec_s,overall_exec_s,pairs_tested,sketch_filtered,sketch_skip_reuse,full_after_sketch,full_after_sketch_rate_pct,filtered_miss,nullspace_runs,rebuild_count,local_add_count,basis_update_count,basis_reuse_rate_pct,aa_ms,sketch_ms,sketch_build_ms,sketch_basis_ms,sketch_mem_ms,sketch_other_ms,chi_update_ms,basis_work_ms,nullspace_ms,sketch_rej_rate_pct,avg_sketch_rows,avg_sketch_basis,avg_affected_rows,avg_active_rows,reuse_mem_reject,reuse_ns_runs,reuse_no_pair_y,reuse_no_reduce,reuse_reduced,reuse_mem_rej_rate_pct,reuse_no_red_rate_pct,fail_count,outfile
ham15-low.tfc,reuse,25,lx2_dynamic_repair_chi_packed_aa_sketch_25,135,78,8261,8.261,22.7847,4279,4163,0,116,2.711,100,16,100,16,116,13.793,0.82,7895.49,1087.18,28.399,0.001,6779.91,256.012,256.012,28.351,97.2891,9477.03,76.0925,15571.4,12034,0,0,0,0,0,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260618_032309/logs/ham15-low_lx2_dynamic_repair_chi_packed_aa_sketch_25.out
ham15-low.tfc,noreuse,25,lx2_dynamic_repair_chi_packed_aa_sketch_noreuse_25,135,78,8783,8.783,23.2831,4279,4163,0,116,2.711,100,16,116,0,116,0.000,0.922,8252.93,1168.06,43.386,0,7041.48,408.377,408.377,33.805,97.2891,9477.03,76.0925,0,12034,0,0,0,0,0,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260618_032309/logs/ham15-low_lx2_dynamic_repair_chi_packed_aa_sketch_noreuse_25.out
ham15-low.tfc,reuse,30,lx2_dynamic_repair_chi_packed_aa_sketch_30,135,78,10047,10.047,24.541,4279,4202,0,77,1.799,61,16,71,6,77,7.792,0.911,9680.18,1161.67,45.194,0,8473.32,245.762,245.762,32.969,98.2005,11372.6,76.4094,15854.2,11993.2,0,0,0,0,0,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260618_032309/logs/ham15-low_lx2_dynamic_repair_chi_packed_aa_sketch_30.out
ham15-low.tfc,noreuse,30,lx2_dynamic_repair_chi_packed_aa_sketch_noreuse_30,135,78,9368,9.368,23.8797,4279,4202,0,77,1.799,61,16,77,0,77,0.000,0.711,9071.25,1054.13,23.689,0,7993.44,204.017,204.017,23.566,98.2005,11372.6,76.4094,0,11993.2,0,0,0,0,0,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260618_032309/logs/ham15-low_lx2_dynamic_repair_chi_packed_aa_sketch_noreuse_30.out
ham15-med.tfc,baseline,,lx2_dynamic_repair_chi_packed_aa,287,163,1563495,1563.495,3189.03,49009,,,49009,100.000,48957,52,39715,9294,49009,18.964,6.78,,,,,,1.5498e+06,1.5498e+06,1766.94,,,,107911,223552,,,,,,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260618_032309/logs/ham15-med_lx2_dynamic_repair_chi_packed_aa.out
ham15-med.tfc,reuse,3,lx2_dynamic_repair_chi_packed_aa_sketch_3,287,163,1176928,1176.928,2800.56,49009,16090,0,32919,67.169,32867,52,27381,5538,32919,16.823,6.832,144439,68480.2,3832.96,0.017,72125.9,1.02226e+06,1.02226e+06,1776.78,32.8307,6707.21,141.515,116679,183087,0,0,0,0,0,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260618_032309/logs/ham15-med_lx2_dynamic_repair_chi_packed_aa_sketch_3.out
ham15-med.tfc,noreuse,3,lx2_dynamic_repair_chi_packed_aa_sketch_noreuse_3,287,163,1518964,1518.964,3143.03,49009,16090,0,32919,67.169,32867,52,32919,0,32919,0.000,7.131,144660,68551.7,3837.21,0.016,72271.1,1.36401e+06,1.36401e+06,1758.82,32.8307,6707.21,141.515,0,183087,0,0,0,0,0,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260618_032309/logs/ham15-med_lx2_dynamic_repair_chi_packed_aa_sketch_noreuse_3.out
ham15-med.tfc,reuse,5,lx2_dynamic_repair_chi_packed_aa_sketch_5,287,163,796710,796.710,2420.65,49009,28972,0,20037,40.884,19985,52,16673,3364,20037,16.789,6.957,194374,68726.7,4510.15,0.013,121137,594874,594874,1782.93,59.1157,11178,152.94,117344,143943,0,0,0,0,0,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260618_032309/logs/ham15-med_lx2_dynamic_repair_chi_packed_aa_sketch_5.out
ham15-med.tfc,noreuse,5,lx2_dynamic_repair_chi_packed_aa_sketch_noreuse_5,287,163,997514,997.514,2624.11,49009,28972,0,20037,40.884,19985,52,20037,0,20037,0.000,6.904,193928,68305.8,4521.57,0.016,121100,796132,796132,1762.92,59.1157,11178,152.94,0,143943,0,0,0,0,0,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260618_032309/logs/ham15-med_lx2_dynamic_repair_chi_packed_aa_sketch_noreuse_5.out
ham15-med.tfc,reuse,8,lx2_dynamic_repair_chi_packed_aa_sketch_8,287,163,567673,567.673,2197.02,49009,38723,0,10286,20.988,10234,52,8577,1709,10286,16.615,6.816,268275,68386.8,5049.41,0.013,194839,294090,294090,1758.23,79.012,17884.5,160.783,113586,110488,0,0,0,0,0,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260618_032309/logs/ham15-med_lx2_dynamic_repair_chi_packed_aa_sketch_8.out
ham15-med.tfc,noreuse,8,lx2_dynamic_repair_chi_packed_aa_sketch_noreuse_8,287,163,665032,665.032,2288.73,49009,38723,0,10286,20.988,10234,52,10286,0,10286,0.000,6.821,266502,67061.4,5061.87,0.011,194379,393220,393220,1755.94,79.012,17884.5,160.783,0,110488,0,0,0,0,0,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260618_032309/logs/ham15-med_lx2_dynamic_repair_chi_packed_aa_sketch_noreuse_8.out
ham15-med.tfc,reuse,10,lx2_dynamic_repair_chi_packed_aa_sketch_10,287,163,521509,521.509,2147.9,49009,41948,0,7061,14.408,7009,52,5914,1147,7061,16.244,6.974,317637,68359.7,5297.75,0.016,243980,199270,199270,1749.13,85.5924,22355.6,163.654,110872,97176.8,0,0,0,0,0,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260618_032309/logs/ham15-med_lx2_dynamic_repair_chi_packed_aa_sketch_10.out
ham15-med.tfc,noreuse,10,lx2_dynamic_repair_chi_packed_aa_sketch_noreuse_10,287,163,590568,590.568,2215.84,49009,41948,0,7061,14.408,7009,52,7061,0,7061,0.000,6.899,318398,68985.9,5306.62,0.017,244106,267537,267537,1770.5,85.5924,22355.6,163.654,0,97176.8,0,0,0,0,0,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260618_032309/logs/ham15-med_lx2_dynamic_repair_chi_packed_aa_sketch_noreuse_10.out
ham15-med.tfc,reuse,13,lx2_dynamic_repair_chi_packed_aa_sketch_13,287,163,519584,519.584,2145.78,49009,44725,0,4284,8.741,4232,52,3636,648,4284,15.126,7.367,391952,68537.3,5600.42,0.016,317814,123504,123504,1794.33,91.2587,29062.3,166.367,105654,80641.8,0,0,0,0,0,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260618_032309/logs/ham15-med_lx2_dynamic_repair_chi_packed_aa_sketch_13.out
ham15-med.tfc,noreuse,13,lx2_dynamic_repair_chi_packed_aa_sketch_noreuse_13,287,163,555952,555.952,2187.89,49009,44725,0,4284,8.741,4232,52,4284,0,4284,0.000,6.918,391971,68622.1,5575.32,0.014,317774,159967,159967,1764.26,91.2587,29062.3,166.367,0,80641.8,0,0,0,0,0,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260618_032309/logs/ham15-med_lx2_dynamic_repair_chi_packed_aa_sketch_noreuse_13.out
ham15-med.tfc,reuse,15,lx2_dynamic_repair_chi_packed_aa_sketch_15,287,163,537635,537.635,2162.29,49009,45761,0,3248,6.627,3196,52,2763,485,3248,14.932,6.918,441218,68576.6,5705.53,0.016,366936,92624.1,92624.1,1765.43,93.3726,33533.3,167.586,101270,73377.6,0,0,0,0,0,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260618_032309/logs/ham15-med_lx2_dynamic_repair_chi_packed_aa_sketch_15.out
ham15-med.tfc,noreuse,15,lx2_dynamic_repair_chi_packed_aa_sketch_noreuse_15,287,163,568320,568.320,2193.66,49009,45761,0,3248,6.627,3196,52,3248,0,3248,0.000,6.787,443614,68510.5,5739.44,0.016,369364,120923,120923,1757.39,93.3726,33533.3,167.586,0,73377.6,0,0,0,0,0,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260618_032309/logs/ham15-med_lx2_dynamic_repair_chi_packed_aa_sketch_noreuse_15.out
ham15-med.tfc,reuse,20,lx2_dynamic_repair_chi_packed_aa_sketch_20,287,163,620960,620.960,2252.49,49009,47267,0,1742,3.554,1690,52,1511,231,1742,13.261,6.832,566183,68467.4,5969.24,0.021,491746,51243.1,51243.1,1825.56,96.4456,44710.7,169.532,92429,61869.3,0,0,0,0,0,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260618_032309/logs/ham15-med_lx2_dynamic_repair_chi_packed_aa_sketch_20.out
ham15-med.tfc,noreuse,20,lx2_dynamic_repair_chi_packed_aa_sketch_noreuse_20,287,163,631175,631.175,2254.24,49009,47267,0,1742,3.554,1690,52,1742,0,1742,0.000,6.895,562666,68361.9,5972.7,0.009,488332,65027,65027,1777.87,96.4456,44710.7,169.532,0,61869.3,0,0,0,0,0,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260618_032309/logs/ham15-med_lx2_dynamic_repair_chi_packed_aa_sketch_noreuse_20.out
ham15-med.tfc,reuse,25,lx2_dynamic_repair_chi_packed_aa_sketch_25,287,163,721857,721.857,2350.98,49009,48012,0,997,2.034,945,52,898,99,997,9.930,6.843,688860,69034.2,6213.67,0.02,613612,29703.9,29703.9,1754.28,97.9657,55888.2,170.627,85674.3,55500.6,0,0,0,0,0,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260618_032309/logs/ham15-med_lx2_dynamic_repair_chi_packed_aa_sketch_25.out
ham15-med.tfc,noreuse,25,lx2_dynamic_repair_chi_packed_aa_sketch_noreuse_25,287,163,728310,728.310,2360.98,49009,48012,0,997,2.034,945,52,997,0,997,0.000,6.912,687470,68368.6,6158.55,0.013,612942,37500.9,37500.9,1799.47,97.9657,55888.2,170.627,0,55500.6,0,0,0,0,0,,,0,/home/ryo-mtmt/TOpt/forme/sketch_experiments/aa_sketch_detail_20260618_032309/logs/ham15-med_lx2_dynamic_repair_chi_packed_aa_sketch_noreuse_25.out
