circuit,algorithm,input_tcount,output_tcount,time_s
barenco_tof_3,todd_exp_packedlocal_diff_1110,28,14,.004
barenco_tof_3,todd_exp_1110,28,14,.005
barenco_tof_3,lx2_dynamic_repair_chi_packed_aa,28,14,.003
barenco_tof_4,todd_exp_packedlocal_diff_1110,56,24,.053
barenco_tof_4,todd_exp_1110,56,24,.076
barenco_tof_4,lx2_dynamic_repair_chi_packed_aa,56,24,.043
barenco_tof_5,todd_exp_packedlocal_diff_1110,84,34,.291
barenco_tof_5,todd_exp_1110,84,34,.442
barenco_tof_5,lx2_dynamic_repair_chi_packed_aa,84,34,.213
barenco_tof_10,todd_exp_packedlocal_diff_1110,224,84,29.446
barenco_tof_10,todd_exp_1110,224,84,27.552
barenco_tof_10,lx2_dynamic_repair_chi_packed_aa,224,84,11.577
gf2^4_mult,todd_exp_packedlocal_diff_1110,112,54,.529
gf2^4_mult,todd_exp_1110,112,54,.610
gf2^4_mult,lx2_dynamic_repair_chi_packed_aa,112,54,.415
gf2^5_mult,todd_exp_packedlocal_diff_1110,175,88,4.164
gf2^5_mult,todd_exp_1110,175,86,5.464
gf2^5_mult,lx2_dynamic_repair_chi_packed_aa,175,88,3.226
ham15-med,todd_exp_packedlocal_diff_1110,574,163,3286.026
ham15-med,todd_exp_1110,574,167,2862.969
ham15-med,lx2_dynamic_repair_chi_packed_aa,574,163,1573.106
hwb6,todd_exp_packedlocal_diff_1110,105,52,2.316
hwb6,todd_exp_1110,105,53,3.239
hwb6,lx2_dynamic_repair_chi_packed_aa,105,52,2.026
mod5_4,todd_exp_packedlocal_diff_1110,28,16,.006
mod5_4,todd_exp_1110,28,16,.012
mod5_4,lx2_dynamic_repair_chi_packed_aa,28,16,.004
mod_mult_55,todd_exp_packedlocal_diff_1110,49,17,.040
mod_mult_55,todd_exp_1110,49,18,.053
mod_mult_55,lx2_dynamic_repair_chi_packed_aa,49,17,.023
mod_red_21,todd_exp_packedlocal_diff_1110,119,52,2.278
mod_red_21,todd_exp_1110,119,54,3.211
mod_red_21,lx2_dynamic_repair_chi_packed_aa,119,52,1.598
qcla_com_7,todd_exp_packedlocal_diff_1110,203,62,9.025
qcla_com_7,todd_exp_1110,203,62,13.137
qcla_com_7,lx2_dynamic_repair_chi_packed_aa,203,62,5.965
qft_4,todd_exp_packedlocal_diff_1110,14,12,.002
qft_4,todd_exp_1110,14,12,.003
qft_4,lx2_dynamic_repair_chi_packed_aa,14,12,.001
rc_adder_6,todd_exp_packedlocal_diff_1110,77,38,1.300
rc_adder_6,todd_exp_1110,77,38,1.432
rc_adder_6,lx2_dynamic_repair_chi_packed_aa,77,38,.637
tof_3,todd_exp_packedlocal_diff_1110,21,13,.002
tof_3,todd_exp_1110,21,13,.003
tof_3,lx2_dynamic_repair_chi_packed_aa,21,13,.002
tof_4,todd_exp_packedlocal_diff_1110,35,19,.014
tof_4,todd_exp_1110,35,19,.018
tof_4,lx2_dynamic_repair_chi_packed_aa,35,19,.014
tof_5,todd_exp_packedlocal_diff_1110,49,25,.074
tof_5,todd_exp_1110,49,25,.068
tof_5,lx2_dynamic_repair_chi_packed_aa,49,25,.033
tof_10,todd_exp_packedlocal_diff_1110,119,55,2.619
tof_10,todd_exp_1110,119,55,4.218
tof_10,lx2_dynamic_repair_chi_packed_aa,119,55,1.750
vbe_adder_3,todd_exp_packedlocal_diff_1110,70,19,.033
vbe_adder_3,todd_exp_1110,70,19,.036
vbe_adder_3,lx2_dynamic_repair_chi_packed_aa,70,19,.027
